wm,b,t1k,t2k,t4k,t6k,t8k,Avg Torque over RPM range,,,
0.02,0.005,12.91809378,13.7907598,14.27579222,14.37500471,14.33703303,13.93933671,,Max Avg Torque,313.7400364
0.02,0.01,25.92362784,27.77191928,28.83066629,29.19700681,29.31762413,28.20816887,,Cloest Match to Design Req,253.6309686
0.02,0.015,35.57245277,38.0790854,39.50353354,40.03467129,40.29313484,38.69657557,,,
0.02,0.02,42.83053143,45.77923237,47.442139,48.06983467,48.40899981,46.50614746,,,
0.02,0.025,48.42001419,51.6816854,53.51041286,54.20146726,54.58776408,52.48026876,,,
0.02,0.03,52.80034998,56.29686616,58.24841076,58.98518523,59.40186076,57.14653458,,,
0.02,0.035,56.27179921,59.95378916,62.001422,62.77347644,63.21185773,60.8424689,,,
0.02,0.04,59.04071802,62.87499309,65.001071,65.80165903,66.25678884,63.795046,,,
0.03,0.005,20.70155409,21.56814296,22.01299084,22.0000645,21.79397217,21.61534491,,,
0.03,0.01,43.89586651,46.00706807,47.17315304,47.53572582,47.55693183,46.43374905,,,
0.03,0.015,62.26446618,65.39285864,67.11140259,67.73792766,68.00176377,66.10168377,,,
0.03,0.02,76.57909106,80.46891384,82.59181036,83.38469193,83.79729946,81.36436133,,,
0.03,0.025,87.82910453,92.29486129,94.71950734,95.62797636,96.12967684,93.32022527,,,
0.03,0.03,96.75450463,101.6720516,104.3308936,105.3264496,105.8869056,102.794161,,,
0.03,0.035,103.8825096,109.168452,112.0167614,113.081721,113.6851028,110.3669094,,,
0.03,0.04,109.5957757,115.1914204,118.1983147,119.3207916,119.9579595,116.4528524,,,
0.04,0.005,27.06754039,27.86056298,28.23321661,28.07586135,27.66069224,27.77957471,,,
0.04,0.01,59.47067252,61.51869221,62.63427896,62.9277881,62.79197274,61.86868091,,,
0.04,0.015,86.53920027,89.77106166,91.51945183,92.14335917,92.34730746,90.46407608,,,
0.04,0.02,108.3722617,112.5892569,114.8522749,115.6934493,116.1099529,113.5234391,,,
0.04,0.025,125.9108642,130.9299455,133.6074989,134.60822,135.1539247,132.0420907,,,
0.04,0.03,140.023095,145.705798,148.7234253,149.85047,150.483253,146.9572083,,,
