"","PM Axial Extrusion(w_m)","Magnet thickenss","Torque"
"1",0.02,0.005,14.2757922234887
"2",0.02,0.01,28.8306662893277
"3",0.02,0.015,39.5035335416685
"4",0.02,0.02,47.4421389989297
"5",0.02,0.025,53.5104128614275
"6",0.02,0.03,58.2484107551494
"7",0.02,0.035,62.0014219974943
"8",0.02,0.04,65.0010710025363
"9",0.03,0.005,22.0129908354507
"10",0.03,0.01,47.1731530384344
"11",0.03,0.015,67.1114025876797
"12",0.03,0.02,82.591810360172
"13",0.03,0.025,94.7195073396522
"14",0.03,0.03,104.330893620237
"15",0.03,0.035,112.016761401416
"16",0.03,0.04,118.198314720334
"17",0.04,0.005,28.233216606808
"18",0.04,0.01,62.6342789590314
"19",0.04,0.015,91.5194518310174
"20",0.04,0.02,114.852274942001
"21",0.04,0.025,133.607498853592
"22",0.04,0.03,148.723425285099
"23",0.04,0.035,160.947603582107
"24",0.04,0.04,170.854603104573
"25",0.05,0.005,32.991529986448
"26",0.05,0.01,74.7522397919833
"27",0.05,0.015,111.26637473078
"28",0.05,0.02,141.745932661273
"29",0.05,0.025,166.836490333621
"30",0.05,0.03,187.400642050643
"31",0.05,0.035,204.227615555937
"32",0.05,0.04,217.978228478447
"33",0.06,0.005,36.3993306761313
"34",0.06,0.01,83.6131635332059
"35",0.06,0.015,126.069000803397
"36",0.06,0.02,162.435746162398
"37",0.06,0.025,192.996795456073
"38",0.06,0.03,218.436561813717
"39",0.06,0.035,239.491668357915
"40",0.06,0.04,256.840311624865
"41",0.07,0.005,38.5734306174288
"42",0.07,0.01,89.4482451964746
"43",0.07,0.015,136.100730213002
"44",0.07,0.02,176.861667786949
"45",0.07,0.025,211.707194093392
"46",0.07,0.03,241.112162882856
"47",0.07,0.035,265.704160904001
"48",0.07,0.04,286.125416000081
"49",0.08,0.005,39.6307977205404
"50",0.08,0.01,92.5266595461822
"51",0.08,0.015,141.710742795315
"52",0.08,0.02,185.331643816365
"53",0.08,0.025,223.139755928492
"54",0.08,0.03,255.41467884064
"55",0.08,0.035,282.653842065252
"56",0.08,0.04,305.431271776721
"57",0.09,0.005,39.6879416241921
"58",0.09,0.01,93.1274621391774
"59",0.09,0.015,143.315604982433
"60",0.09,0.02,188.327413472447
"61",0.09,0.025,227.764339966513
"62",0.09,0.03,261.746649457248
"63",0.09,0.035,290.645649157259
"64",0.09,0.04,314.954308975174
"65",0.1,0.005,38.8607929043569
"66",0.1,0.01,91.5322613942134
"67",0.1,0.015,141.357617939143
"68",0.1,0.02,186.412471180272
"69",0.1,0.025,226.210682219375
"70",0.1,0.03,260.754810956594
"71",0.1,0.035,290.30866213221
"72",0.1,0.04,315.285794623472
"73",0.11,0.005,37.2646745039804
"74",0.11,0.01,88.0233178240152
"75",0.11,0.015,136.288820712169
"76",0.11,0.02,180.188481097363
"77",0.11,0.025,219.193920340968
"78",0.11,0.03,253.229105104953
"79",0.11,0.035,282.475425706427
"80",0.11,0.04,307.277804433683
